Ticker,Warning,Test_N,Test_Up_Pct,Model_A_F1,Model_B_F1,F1_Lift,Significant,Model_A_Recall,Model_B_Recall
ORAS.CA,Imbalanced (Bull),26,1.0,0.074074074074074,0.631578947368421,7.526315789473684,True,0.0384615384615384,0.4615384615384615
CLHO.CA,Clean,440,0.559,0.6650602409638554,0.7569573283858998,0.1381785915947406,False,0.5609756097560976,0.8292682926829268
EGBE.CA,Imbalanced (Bull),26,1.0,0.9166666666666666,1.0,0.0909090909090909,True,0.8461538461538461,1.0
SAUD.CA,Clean,1137,0.573,0.7032772364924712,0.7433198380566801,0.0569371500831131,True,0.6088957055214724,0.7039877300613497
CICH.CA,Clean,367,0.651,0.7545454545454545,0.7782101167315175,0.0313628053068304,True,0.694560669456067,0.8368200836820083
COMI.CA,Clean,1172,0.57,0.8038277511961722,0.8280166435506241,0.030092133940955,True,0.8802395209580839,0.8937125748502994
FWRY.CA,Clean,309,0.638,0.7798408488063661,0.8031088082901554,0.0298368051883965,True,0.7461928934010152,0.7868020304568528
HDBK.CA,Clean,1154,0.59,0.8005637773079634,0.8129496402877698,0.0154714256763603,True,0.8340675477239354,0.8296622613803231
JUFO.CA,Clean,751,0.583,0.8155339805825242,0.8253275109170306,0.0120087336244542,True,0.863013698630137,0.863013698630137
EAST.CA,Clean,1161,0.562,0.7943156320119671,0.7978963185574756,0.0045078888054094,True,0.8144171779141104,0.8144171779141104
MASR.CA,Clean,1099,0.539,0.7897595034910784,0.7914614121510674,0.0021549707885322,True,0.8597972972972973,0.8141891891891891
PHDC.CA,Clean,859,0.579,0.7893700787401575,0.7909715407262021,0.0020287847603757,False,0.806841046277666,0.8108651911468813
SWDY.CA,Clean,953,0.565,0.7817703768624014,0.7829937998228521,0.0015649390110698,False,0.828996282527881,0.8215613382899628
ETEL.CA,Clean,977,0.628,0.7916666666666666,0.7893422148209825,-0.0029361496998114,True,0.7736156351791531,0.7719869706840391
ABUK.CA,Clean,1125,0.571,0.8208269525267994,0.8171886380189366,-0.0044324988314074,True,0.8348909657320872,0.8738317757009346
CIEB.CA,Clean,998,0.568,0.7906976744186046,0.7868852459016393,-0.004821600771456,True,0.8994708994708994,0.8888888888888888
EFIH.CA,Clean,202,0.639,0.825938566552901,0.821917808219178,-0.0048681082304992,True,0.937984496124031,0.9302325581395348
ORHD.CA,Clean,641,0.548,0.7651632970451011,0.7611336032388664,-0.0052664494256279,True,0.7008547008547008,0.8034188034188035
EKHO.CA,Clean,1035,0.414,0.7238658777120316,0.7199191102123357,-0.0054523463824137,True,0.8554778554778555,0.8298368298368298
EMFD.CA,Clean,509,0.501,0.7670682730923695,0.7626168224299066,-0.0058032000782893,True,0.7490196078431373,0.8
BTFH.CA,Clean,711,0.468,0.7513089005235603,0.7465181058495822,-0.0063765977890578,True,0.8618618618618619,0.8048048048048048
SKPC.CA,Clean,998,0.558,0.808326105810928,0.800705467372134,-0.0094276782402677,False,0.8366247755834829,0.8150807899461401
ADIB.CA,Clean,1166,0.581,0.8124137931034483,0.8042553191489362,-0.010042264205469,True,0.8700147710487445,0.8375184638109305
HELI.CA,Clean,1172,0.525,0.7867647058823529,0.7784172661870503,-0.0106098298930949,True,0.8699186991869918,0.8796747967479674
AMOC.CA,Clean,945,0.549,0.788785046728972,0.7803163444639719,-0.0107363879425948,True,0.8131021194605009,0.8554913294797688
MFPC.CA,Clean,452,0.414,0.7087378640776699,0.7004830917874396,-0.0116471444642975,True,0.7807486631016043,0.7754010695187166
EXPA.CA,Clean,1166,0.521,0.7797123391370174,0.7685325264750378,-0.0143383810936651,True,0.8470394736842105,0.8355263157894737
HRHO.CA,Clean,1163,0.545,0.7917933130699089,0.7785336356764928,-0.0167463871878459,True,0.8217665615141956,0.8123028391167192
OCDI.CA,Clean,1180,0.517,0.7617554858934169,0.744220730797912,-0.0230188760307246,True,0.7967213114754098,0.8180327868852459
EFID.CA,Clean,500,0.512,0.7515657620041754,0.731404958677686,-0.0268250688705233,True,0.703125,0.69140625
ISPH.CA,Clean,390,0.654,0.8113590263691683,0.7849686847599165,-0.0325260960334028,True,0.7843137254901961,0.7372549019607844
FAIT.CA,Clean,1050,0.554,0.8230383973288815,0.7931034482758621,-0.0363712666993075,True,0.8470790378006873,0.7508591065292096
GBCO.CA,Clean,894,0.622,0.814404432132964,0.7544910179640718,-0.0735671514114628,True,0.7931654676258992,0.6798561151079137
